"Time","Value","WithError","Extra"
"2023/10/05 14:15:10 7614","0.0546476952731609","False",""
"2023/10/05 14:15:10 9152","0.0539843924343586","False",""
"2023/10/05 14:15:11 0670","0.0778330564498901","False",""
"2023/10/05 14:15:11 2212","0.0850991979241371","False",""
"2023/10/05 14:15:11 3716","0.0881141945719719","False",""
"2023/10/05 14:15:11 5253","0.0918226540088654","False",""
"2023/10/05 14:15:11 6837","0.0986666977405548","False",""
"2023/10/05 14:15:11 8514","0.0985159426927567","False",""
"2023/10/05 14:15:12 0124","0.107380054891109","False",""
"2023/10/05 14:15:12 1841","0.101108849048615","False",""
"2023/10/05 14:15:12 3363","0.120495304465294","False",""
"2023/10/05 14:15:12 5061","0.118505403399467","False",""
"2023/10/05 14:15:12 6666","0.109550848603249","False",""
"2023/10/05 14:15:12 8200","0.124776601791382","False",""
"2023/10/05 14:15:12 9872","0.122032947838306","False",""
"2023/10/05 14:15:13 1572","0.118837051093578","False",""
"2023/10/05 14:15:13 3157","0.109249345958233","False",""
"2023/10/05 14:15:13 4647","0.0989380553364754","False",""
"2023/10/05 14:15:13 6189","0.105540901422501","False",""
"2023/10/05 14:15:13 7773","0.0940236002206802","False",""
"2023/10/05 14:15:13 9251","0.0762049481272697","False",""
"2023/10/05 14:15:14 0873","0.083018846809864","False",""
"2023/10/05 14:15:14 2597","0.0715316981077194","False",""
"2023/10/05 14:15:14 4276","0.0547984465956688","False",""
"2023/10/05 14:15:14 5853","0.0501251965761185","False",""
"2023/10/05 14:15:14 7384","0.0349296070635319","False",""
"2023/10/05 14:15:14 8974","0.0279649458825588","False",""
"2023/10/05 14:15:15 0575","0.0188295003026724","False",""
"2023/10/05 14:15:15 2080","0.0068599465303123","False",""
"2023/10/05 14:15:15 3628","0.00396555382758379","False",""
"2023/10/05 14:15:15 5268","0.00194550002925098","False",""
"2023/10/05 14:15:15 6917","0.00101085740607232","False",""
"2023/10/05 14:15:15 8521","-0.000134857356897555","False",""
"2023/10/05 14:15:16 0134","-0.000707696308381855","False",""
"2023/10/05 14:15:16 1809","-0.00122025003656745","False",""
"2023/10/05 14:15:16 4485","0.0512407496571541","False",""
"2023/10/05 14:15:16 5831","0.0554316081106663","False",""
"2023/10/05 14:15:16 7401","0.0563361085951328","False",""
"2023/10/05 14:15:16 8748","0.0580848045647144","False",""
"2023/10/05 14:15:17 0143","0.0547984465956688","False",""
"2023/10/05 14:15:17 1426","0.0606475546956062","False",""
"2023/10/05 14:15:17 2700","0.0605872496962547","False",""
"2023/10/05 14:15:17 4105","0.0603159032762051","False",""
"2023/10/05 14:15:17 5438","0.0642655566334724","False",""
"2023/10/05 14:15:17 6688","0.0680945962667465","False",""
"2023/10/05 14:15:17 8108","0.0659841001033783","False",""
"2023/10/05 14:15:17 9397","0.0658936500549316","False",""
"2023/10/05 14:15:18 0950","0.0692403018474579","False",""
"2023/10/05 14:15:18 2404","0.0674313008785248","False",""
"2023/10/05 14:15:18 3828","0.0723457485437393","False",""
"2023/10/05 14:15:18 5445","0.0723759010434151","False",""
"2023/10/05 14:15:18 6835","0.0698734447360039","False",""
"2023/10/05 14:15:18 8195","0.0743959471583366","False",""
"2023/10/05 14:15:18 9528","0.0729487463831902","False",""
"2023/10/05 14:15:19 0768","0.0704764500260353","False",""
"2023/10/05 14:15:19 2063","0.0682754963636398","False",""
"2023/10/05 14:15:19 3340","0.0758431553840637","False",""
"2023/10/05 14:15:19 4784","0.0794309973716736","False",""
"2023/10/05 14:15:19 6214","0.0779838040471077","False",""
"2023/10/05 14:15:19 7753","0.08169224858284","False",""
"2023/10/05 14:15:19 9154","0.0828379467129707","False",""
"2023/10/05 14:15:20 0694","0.0879935994744301","False",""
"2023/10/05 14:15:20 2203","0.0825967490673065","False",""
"2023/10/05 14:15:20 3548","0.0952295958995819","False",""
"2023/10/05 14:15:20 4993","0.0918226540088654","False",""
"2023/10/05 14:15:20 6326","0.0953200533986092","False",""
"2023/10/05 14:15:20 7690","0.090405598282814","False",""
"2023/10/05 14:15:20 8963","0.101199306547642","False",""
"2023/10/05 14:15:21 0507","0.0916417464613914","False",""
"2023/10/05 14:15:21 1860","0.0866066962480545","False",""
"2023/10/05 14:15:21 3113","0.0949883982539177","False",""
