"Instant0","-0.4","-0.4","0.00520169641822577","False","False","276195206.245156","2023-10-02-16-53-26-0245"
"","-0.317241379618645","-0.34482758641243","0.0047796075232327","False","False","276195226.724111","2023-10-02-16-53-46-0724",""
"","-0.28965517282486","-0.34482758641243","0.00420675007626414","False","False","276195227.024803","2023-10-02-16-53-47-0024",""
"","-0.262068966031075","-0.34482758641243","0.00459869625046849","False","False","276195227.334076","2023-10-02-16-53-47-0334",""
"","-0.234482759237289","-0.34482758641243","0.00432735728099942","False","False","276195227.660298","2023-10-02-16-53-47-0660",""
"","-0.206896552443504","-0.34482758641243","0.0041464464738965","False","False","276195227.99138","2023-10-02-16-53-47-0991",""
"","-0.179310345649719","-0.34482758641243","0.00426705367863178","False","False","276195228.316843","2023-10-02-16-53-48-0316",""
"","-0.151724138855934","-0.34482758641243","0.00399569654837251","False","False","276195228.631658","2023-10-02-16-53-48-0631",""
"","-0.124137932062149","-0.34482758641243","0.00468914257362485","False","False","276195228.946781","2023-10-02-16-53-48-0946",""
"","-0.096551725268364","-0.34482758641243","0.00405600015074015","False","False","276195229.26946","2023-10-02-16-53-49-0269",""
"","-0.0689655184745789","-0.34482758641243","0.00435750000178814","False","False","276195229.568515","2023-10-02-16-53-49-0568",""
"","-0.0413793116807938","-0.34482758641243","0.00390524999238551","False","False","276195229.882329","2023-10-02-16-53-49-0882",""
"","-0.0137931048870087","-0.34482758641243","0.00417660735547543","False","False","276195230.212876","2023-10-02-16-53-50-0212",""
"","0.0137931019067764","-0.34482758641243","0.00417660735547543","False","False","276195230.538224","2023-10-02-16-53-50-0538",""
"","0.0413793087005615","-0.34482758641243","0.00417660735547543","False","False","276195230.850645","2023-10-02-16-53-50-0850",""
"","0.0689655154943466","-0.34482758641243","0.00462885713204741","False","False","276195231.169045","2023-10-02-16-53-51-0169",""
"","0.0965517222881317","-0.34482758641243","0.00417660735547543","False","False","276195231.49014","2023-10-02-16-53-51-0490",""
"","0.124137929081917","-0.34482758641243","0.00405600015074015","False","False","276195231.831872","2023-10-02-16-53-51-0831",""
"","0.151724135875702","-0.34482758641243","0.00459869625046849","False","False","276195232.161049","2023-10-02-16-53-52-0161",""
"","0.179310342669487","-0.34482758641243","0.00390524999238551","False","False","276195232.480031","2023-10-02-16-53-52-0480",""
"","0.206896549463272","-0.34482758641243","0.00438764272257686","False","False","276195232.798839","2023-10-02-16-53-52-0798",""
"","0.234482756257057","-0.34482758641243","0.00420675007626414","False","False","276195233.113813","2023-10-02-16-53-53-0113",""
"","0.262068963050842","-0.34482758641243","0.00420675007626414","False","False","276195233.423688","2023-10-02-16-53-53-0423",""
"","0.289655169844627","-0.34482758641243","0.00393539248034358","False","False","276195233.758304","2023-10-02-16-53-53-0758",""
"","0.317241376638412","-0.34482758641243","0.00399569654837251","False","False","276195234.074503","2023-10-02-16-53-54-0074",""
"","0.344827583432198","-0.34482758641243","0.00468914257362485","False","False","276195234.393924","2023-10-02-16-53-54-0393",""
"","0.372413790225983","-0.34482758641243","0.00384494639001787","False","False","276195234.737484","2023-10-02-16-53-54-0737",""
"","0.399999997019768","-0.34482758641243","0.00402585742995143","False","False","276195235.067023","2023-10-02-16-53-55-0067",""
"","0.399999997019768","-0.317241379618645","0.00393539248034358","False","False","276195235.359887","2023-10-02-16-53-55-0359",""
"","0.372413790225983","-0.317241379618645","0.00441780360415578","False","False","276195235.672618","2023-10-02-16-53-55-0672",""
"","0.344827583432198","-0.317241379618645","0.0041464464738965","False","False","276195235.975537","2023-10-02-16-53-55-0975",""
